Index,STRUCTURE_NUMBER_008,STRUCTURE_LEN_MT_049,DECK_WIDTH_MT_052,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,Road_class,FUTURE_ADT_114,PERCENT_ADT_TRUCK_109,DETOUR_KILOS_019,HAZUS_classficiation,site_class,DEGREES_SKEW_034,MAIN_UNIT_SPANS_045,maint_duration,rehab_duration,recon_duration,Age,DECK_STRUCTURE_TYPE_107,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,Vertical_clearance
1119,11654,51.2,13,6,2,NHS,10432,0.1,2,HWB22,B,0,3,30,180,360,34,1,6,6,7,99.99
1120,11658,73.8,13,4,2,NHS,13100,0.04,2,HWB15,B,15,2,30,180,360,4,1,7,7,7,99.99
1122,11668,29.3,13,2,1,NHS,18320,0.02,2,HWB10,B,45,3,30,180,360,4,1,7,7,7,99.99
1123,11670,12.8,13.1,1,2,NHS,17770,0.02,2,HWB3,B,45,1,30,180,360,4,1,5,6,7,99.99
1124,11680,37.2,13.2,2,1,NHS,23925,0.04,2,HWB10,B,0,3,30,180,360,29,1,6,6,7,99.99
1125,11681,37.2,13.2,2,1,NHS,23925,0.04,2,HWB10,B,0,3,30,180,360,29,1,6,6,7,99.99
1126,11710,21,14.3,2,1,Minor,11853,0.1,2,HWB10,B,5,3,30,180,360,30,1,6,6,7,99.99
1127,11720,26.5,14.2,2,1,Minor,7526,0.1,5,HWB10,B,0,3,30,180,360,7,1,7,7,6,99.99
1128,11730,33.9,10.5,6,2,Minor,7526,0.1,5,HWB22,B,15,3,30,180,360,21,1,7,8,7,99.99
1129,11740,25.6,14.2,2,1,Minor,7526,0.1,6,HWB10,B,15,3,30,180,360,39,1,6,6,6,99.99
1130,11750,9.3,16.1,1,2,Minor,12318,0.1,6,HWB3,B,15,1,30,180,360,60,1,7,6,6,99.99
1131,11760,61.9,11.6,4,2,Minor,8824,0.1,5,HWB15,B,13,4,30,180,360,21,1,7,7,7,99.99
1132,11770,29,10.4,2,1,Minor,7925,0.1,10,HWB10,B,0,3,30,180,360,23,1,7,7,7,99.99
1134,11780,10.7,12.1,1,11,Minor,4013,0.1,6,HWB3,B,15,1,30,180,360,22,N,6,7,7,99.99
1135,11790,15.2,12.1,1,11,Minor,4013,0.1,5,HWB3,B,15,1,30,180,360,22,N,6,7,6,99.99
1136,11800,21.7,11.1,2,1,Minor,4013,0.1,6,HWB10,B,0,3,30,180,360,38,1,5,5,6,99.99
1138,11820,21.8,14.2,2,1,Minor,2385,0.1,5,HWB10,B,0,3,30,180,360,27,1,5,5,6,99.99
1140,11830,73.2,14.3,4,2,Minor,1427,0.1,2,HWB15,B,9,2,30,180,360,15,1,7,7,7,99.99
1141,11835,32.3,12.3,2,1,Minor,1955,0.1,13,HWB10,B,20,3,30,180,360,27,1,7,7,8,99.99
1142,11840,29.9,10.7,2,1,Minor,1955,0.1,21,HWB10,B,10,3,30,180,360,24,1,7,7,7,99.99
1143,11850,90.8,14.2,4,2,Minor,1955,0.1,3,HWB15,B,0,3,30,180,360,38,1,6,7,6,99.99
1145,11870,44.5,11.9,6,2,Minor,1910,0.1,6,HWB22,B,46,3,30,180,360,22,1,7,8,7,99.99
1147,11880,78.9,14.2,6,2,Minor,1406,0.1,8,HWB22,B,0,3,30,180,360,39,1,6,8,8,99.99
1148,11890,25.3,13.5,2,1,Minor,2254,0.1,10,HWB10,B,30,3,30,180,360,3,1,7,7,7,99.99
1149,11900,58.8,12.9,1,11,Major,10349,0.05,10,HWB5,B,20,3,30,180,360,63,1,6,6,7,99.99
1150,11910,48.5,13.4,1,11,Minor,9710,0.08,8,HWB5,B,0,3,30,180,360,19,1,6,6,7,99.99
1151,11915,7.9,11.5,2,7,Major,13846,0.1,2,HWB10,B,35,2,30,180,360,19,1,6,6,6,99.99
1152,11920,59.7,11,4,2,NHS,8932,0.1,2,HWB15,B,20,3,30,180,360,19,1,7,7,7,99.99
1153,11921,59.7,15.6,4,2,NHS,8932,0.1,2,HWB15,B,20,3,30,180,360,19,1,7,7,7,99.99
1154,11930,285,12.7,4,2,NHS,15686,0.1,32,HWB1,B,0,10,30,180,360,18,1,6,6,7,99.99
1155,11940,285,13,4,2,NHS,15686,0.1,32,HWB1,B,0,10,30,180,360,18,1,7,6,6,99.99
1156,11950,92.7,13.1,4,2,NHS,17377,0.05,2,HWB15,B,99,4,30,180,360,21,1,6,7,7,99.99
1157,11960,125.9,13.3,4,2,NHS,10084,0.05,2,HWB15,B,8,4,30,180,360,5,1,7,7,8,99.99
1158,11970,125.9,13.3,4,2,NHS,15894,0.05,2,HWB15,B,8,4,30,180,360,5,1,7,7,8,99.99
1159,11980,106.4,13,4,2,NHS,16701,0.05,2,HWB15,B,15,5,30,180,360,5,1,7,7,8,99.99
1160,11990,106.4,13,4,2,NHS,16701,0.05,2,HWB15,B,15,5,30,180,360,5,1,7,7,8,99.99
1161,12000,61.3,12.9,4,2,NHS,13460,0.1,2,HWB15,B,32,3,30,180,360,5,1,6,7,7,99.99
1162,12010,61.3,12.9,4,2,NHS,13460,0.1,2,HWB15,B,32,3,30,180,360,5,1,7,7,7,99.99
1164,12030,62.5,15.5,6,2,NHS,12362,0.1,2,HWB22,B,4,3,30,180,360,21,1,6,6,7,99.99
1165,12040,62.5,13,6,2,NHS,12240,0.1,2,HWB22,B,4,3,30,180,360,21,1,6,6,7,99.99
1166,12050,82,15.7,4,2,NHS,12361,0.1,0,HWB15,B,11,2,30,180,360,21,1,7,7,7,99.99
1167,12060,82,15.9,4,2,NHS,12361,0.1,0,HWB15,B,11,2,30,180,360,21,1,7,7,6,99.99
1168,12070,120.4,13.1,4,2,NHS,10907,0.09,2,HWB15,B,11,5,30,180,360,21,1,6,7,7,99.99
1169,12080,120.4,13.1,4,2,NHS,10907,0.09,2,HWB15,B,11,5,30,180,360,21,1,6,7,7,99.99
1170,12090,35.7,13.6,4,2,NHS,34340,0.15,2,HWB15,B,30,3,30,180,360,11,1,8,7,7,99.99
1171,12100,35.7,13.6,4,2,NHS,34340,0.15,2,HWB15,B,30,3,30,180,360,11,1,8,7,7,99.99
1172,12120,60.6,19.1,4,2,NHS,39586,0.16,2,HWB15,B,40,3,30,180,360,2,1,7,8,8,99.99
1173,12130,60.6,19.1,4,2,NHS,36962,0.17,2,HWB15,B,40,3,30,180,360,2,1,8,8,8,99.99
1174,12140,74.7,14.3,4,2,Minor,10271,0.02,2,HWB15,B,45,2,30,180,360,32,1,6,7,7,99.99
1175,12150,87.1,19.2,6,2,NHS,28350,0.22,2,HWB22,B,15,5,30,180,360,3,1,8,9,8,99.99
1176,12160,87.1,19.2,6,2,NHS,29184,0.22,2,HWB22,B,15,5,30,180,360,3,1,8,8,7,99.99
