Index,STRUCTURE_NUMBER_008,STRUCTURE_LEN_MT_049,DECK_WIDTH_MT_052,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,Road_class,FUTURE_ADT_114,PERCENT_ADT_TRUCK_109,DETOUR_KILOS_019,HAZUS_classficiation,site_class,DEGREES_SKEW_034,MAIN_UNIT_SPANS_045,maint_duration,rehab_duration,recon_duration,Age,DECK_STRUCTURE_TYPE_107,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,Vertical_clearance
0,10,54.3,16.8,4,2,Major,12797,0.05,6,HWB15,B,6,3,30,180,360,14,1,5,7,7,99.99
4,30,15.9,14.4,1,11,Minor,4183,0.1,18,HWB3,B,0,1,30,180,360,36,1,6,7,6,99.99
6,50,64.2,19,4,2,Minor,12836,0.05,10,HWB15,B,5,4,30,180,360,11,1,7,8,7,99.99
7,70,187.4,13.6,4,2,Minor,4070,0.09,3,HWB1,B,0,7,30,180,360,42,1,6,6,7,99.99
13,130,46,13.3,6,2,Minor,12000,0.18,10,HWB22,B,20,3,30,180,360,19,1,7,8,7,99.99
14,140,166.1,19.8,6,2,Major,32000,0.05,16,HWB1,B,20,7,30,180,360,24,1,7,8,7,99.99
15,160,16.8,14.3,3,2,Major,12905,0.05,10,HWB3,B,0,1,30,180,360,33,1,7,7,7,99.99
17,180,29.2,14.2,6,6,Minor,12492,0.1,8,HWB22,B,20,3,30,180,360,36,1,7,6,7,99.99
18,190,83.7,11.1,4,2,Minor,9416,0.1,5,HWB15,B,30,4,30,180,360,33,1,6,7,7,99.99
19,210,40.7,17.1,4,2,Minor,10690,0.05,14,HWB15,B,0,2,30,180,360,3,1,7,7,7,99.99
20,225,30.9,14.2,2,1,Minor,3430,0.1,8,HWB10,B,13,3,30,180,360,25,1,7,7,7,99.99
21,230,47.7,14.4,4,2,Minor,2315,0.1,3,HWB15,B,15,3,30,180,360,44,1,6,6,7,99.99
23,260,33.2,13.1,2,1,Minor,2355,0.1,5,HWB10,B,0,3,30,180,360,31,1,7,7,7,99.99
24,270,54.2,14.2,6,2,Minor,2355,0.1,2,HWB22,B,0,3,30,180,360,39,1,7,7,7,99.99
26,290,22.6,13.5,2,1,Minor,2256,0.1,6,HWB10,B,10,3,30,180,360,28,1,7,7,7,99.99
27,300,125.3,8.8,3,10,Minor,1340,0.1,13,HWB12,B,0,2,30,180,360,12,1,8,5,6,4.47
30,320,11.7,18.3,2,1,Minor,9464,0.25,6,HWB10,B,42,3,30,180,360,44,1,6,6,6,99.99
31,330,23.6,14.2,2,1,Minor,4001,0.28,6,HWB10,B,0,3,30,180,360,42,1,6,6,6,99.99
33,340,32.5,14.2,2,1,Minor,4914,0.28,8,HWB10,B,30,3,30,180,360,35,1,5,5,5,99.99
35,360,12.3,14.2,5,2,Minor,3434,0.24,8,HWB3,B,45,1,30,180,360,16,1,6,7,6,99.99
36,370,22.3,14.4,2,1,Minor,4487,0.21,5,HWB10,B,20,3,30,180,360,5,1,7,7,8,99.99
38,380,91.7,17.3,1,11,Major,42261,0.05,8,HWB5,B,15,4,30,180,360,15,1,6,5,6,99.99
39,390,34.1,17.9,2,1,Minor,12391,0.06,8,HWB10,B,30,3,30,180,360,12,1,6,6,7,99.99
40,400,21.9,14.2,2,1,Minor,16432,0.05,6,HWB10,B,15,3,30,180,360,4,1,7,6,7,99.99
41,425,58.5,26.7,4,2,Minor,22526,0.07,13,HWB15,B,0,2,30,180,360,30,1,7,7,7,99.99
42,435,70.7,27.5,6,4,Minor,39194,0.08,16,HWB22,B,0,2,30,180,360,24,1,8,7,7,99.99
44,440,23.3,14.3,2,1,Minor,20961,0.03,5,HWB10,B,0,3,30,180,360,30,1,6,6,6,99.99
45,450,60.4,14.7,4,2,Minor,20961,0.03,10,HWB15,B,5,3,30,180,360,25,1,7,8,8,99.99
48,480,39.3,14.2,2,1,Minor,1050,0.11,6,HWB10,B,30,3,30,180,360,6,1,7,7,7,99.99
49,490,23.8,13.1,5,2,Minor,2270,0.07,6,HWB3,B,0,1,30,180,360,30,1,6,8,7,99.99
50,500,23.3,14.7,2,1,Minor,3630,0.08,6,HWB10,B,0,3,30,180,360,28,1,7,7,8,99.99
51,510,26.5,14.2,2,1,Minor,2953,0.05,6,HWB10,B,0,3,30,180,360,4,1,7,7,7,99.99
53,515,28.3,10,2,1,Minor,511,0.1,3,HWB10,B,0,3,30,180,360,30,1,7,7,7,99.99
54,517,22.6,8.7,5,5,Minor,34,0.05,199,HWB3,B,25,1,30,180,360,5,1,8,9,7,99.99
55,520,21.9,9.4,5,5,Minor,4368,0.1,8,HWB3,B,0,1,30,180,360,38,1,5,5,5,99.99
56,530,17.1,12.3,5,2,Minor,4368,0.1,10,HWB3,B,0,1,30,180,360,25,1,8,8,8,99.99
57,550,23.2,14.5,2,1,Minor,12154,0.1,6,HWB10,B,0,3,30,180,360,32,1,6,6,7,99.99
58,560,9.8,42.4,5,6,Minor,26517,0.05,2,HWB3,B,11,1,30,180,360,14,1,7,6,6,99.99
59,570,18.9,14.7,2,1,Minor,11581,0.1,8,HWB10,B,0,3,30,180,360,27,1,7,8,7,99.99
62,578,21.8,13.7,2,1,Minor,16500,0.2,6,HWB10,B,0,3,30,180,360,14,1,6,6,8,99.99
64,610,15.9,14.3,5,2,Minor,11192,0.1,5,HWB3,B,30,1,30,180,360,5,1,8,8,7,99.99
65,620,23.2,14.3,2,1,Minor,12975,0.1,5,HWB10,B,10,3,30,180,360,27,1,6,6,8,99.99
69,640,49.7,11.9,4,2,Minor,8097,0.1,8,HWB15,B,0,3,30,180,360,27,1,7,6,6,99.99
70,650,28.3,14.3,4,2,Minor,7428,0.1,2,HWB15,B,45,3,30,180,360,5,1,6,7,7,99.99
71,670,10.4,30.6,5,2,NHS,22490,0.1,6,HWB3,B,2,1,30,180,360,29,1,6,6,6,99.99
72,700,12.2,24.4,2,1,Minor,21311,0.05,13,HWB10,B,30,2,30,180,360,47,1,5,5,6,99.99
73,710,40.8,14.2,6,2,Minor,3515,0.1,8,HWB22,B,30,3,30,180,360,40,1,7,8,7,99.99
76,740,81.7,14.3,4,2,Minor,3334,0.1,8,HWB15,B,22,3,30,180,360,28,1,6,7,7,99.99
77,750,80.8,11.5,4,2,Minor,2322,0.08,13,HWB15,B,0,3,30,180,360,5,1,8,8,8,99.99
79,765,141.1,14.2,4,2,Minor,12487,0.05,2,HWB15,B,20,4,30,180,360,5,1,6,6,6,99.99
81,790,20.4,14.5,5,2,Minor,4452,0.1,5,HWB3,B,45,1,30,180,360,44,1,7,6,6,99.99
82,795,26.5,13,2,1,NHS,6377,0.1,2,HWB10,B,10,3,30,180,360,38,1,5,5,7,99.99
83,796,26.5,13,2,1,NHS,6377,0.1,2,HWB10,B,10,3,30,180,360,38,1,5,5,7,99.99
84,800,71.8,30.2,6,4,NHS,17783,0.11,10,HWB22,B,1,4,30,180,360,4,1,9,9,7,99.99
86,820,55,14.2,6,2,NHS,6717,0.1,8,HWB22,B,30,3,30,180,360,37,1,6,6,7,99.99
88,830,51.3,14.2,6,2,NHS,6784,0.1,6,HWB22,B,18,3,30,180,360,40,1,7,7,7,99.99
92,850,14.6,14.3,3,2,NHS,6645,0.1,5,HWB3,B,0,1,30,180,360,25,1,7,6,7,99.99
93,860,23.7,12.1,5,2,NHS,5723,0.19,6,HWB3,B,20,1,30,180,360,17,1,7,8,8,99.99
95,910,49.9,21.3,2,1,NHS,22000,0.05,3,HWB10,B,45,5,30,180,360,26,1,6,6,6,99.99
96,920,56.5,12.7,4,2,NHS,10000,0.1,2,HWB15,B,37,3,30,180,360,22,1,7,7,7,99.99
97,930,56.5,12.7,4,2,NHS,10000,0.1,2,HWB15,B,37,3,30,180,360,22,1,7,7,7,99.99
98,940,26.1,13.1,2,1,NHS,8000,0.1,3,HWB10,B,30,3,30,180,360,17,1,6,6,7,99.99
99,945,26.1,13.1,2,1,NHS,8000,0.1,3,HWB10,B,30,3,30,180,360,17,1,6,6,7,99.99
100,950,39.7,13.1,6,2,NHS,6000,0.1,2,HWB22,B,45,3,30,180,360,17,1,8,7,7,99.99
101,955,40.3,13,6,2,NHS,6000,0.1,2,HWB22,B,45,3,30,180,360,17,1,7,7,7,99.99
102,960,42.4,13,4,2,NHS,11000,0.05,2,HWB15,B,0,2,30,180,360,17,1,7,6,7,99.99
103,970,42.4,13,4,2,NHS,11000,0.05,2,HWB15,B,0,2,30,180,360,17,1,7,7,7,99.99
104,980,53.4,13,4,2,NHS,11000,0.05,2,HWB15,B,26,3,30,180,360,17,1,6,6,7,99.99
105,990,53.4,13,4,2,NHS,11000,0.05,2,HWB15,B,26,3,30,180,360,17,1,7,6,7,99.99
106,1000,56.1,14.3,4,2,Minor,1590,0.01,5,HWB15,B,16,2,30,180,360,3,1,7,7,7,99.99
107,1010,90.6,12.7,4,2,NHS,10966,0.05,2,HWB15,B,15,5,30,180,360,17,1,7,7,7,99.99
108,1020,90.6,12.7,4,2,NHS,10966,0.05,2,HWB15,B,15,5,30,180,360,17,1,7,7,7,99.99
109,1030,51.7,18.9,4,2,NHS,13341,0.05,2,HWB15,B,1,2,30,180,360,17,1,7,7,7,99.99
110,1040,51.7,15.8,4,2,NHS,13341,0.05,2,HWB15,B,1,2,30,180,360,17,1,7,7,7,99.99
111,1050,24.9,15.1,2,1,NHS,13341,0.05,2,HWB10,B,35,3,30,180,360,34,1,5,5,6,99.99
112,1060,24.9,16.9,2,1,NHS,13341,0.05,2,HWB10,B,35,3,30,180,360,34,1,5,5,6,99.99
113,1070,48.6,14.4,4,2,NHS,13341,0.05,2,HWB15,B,0,3,30,180,360,34,1,7,6,7,99.99
114,1080,47.9,12.7,4,2,NHS,13341,0.05,2,HWB15,B,0,3,30,180,360,34,1,7,6,7,99.99
115,1090,43.9,17.3,4,2,NHS,15000,0.05,2,HWB15,B,0,2,30,180,360,34,1,7,6,7,99.99
116,1100,43.9,15.9,4,2,NHS,15000,0.05,2,HWB15,B,0,2,30,180,360,34,1,6,6,7,99.99
117,1110,47.5,13.2,4,2,NHS,14984,0.05,2,HWB15,B,20,3,30,180,360,34,1,6,6,7,99.99
118,1120,47.5,13.2,4,2,NHS,14984,0.05,2,HWB15,B,20,3,30,180,360,34,1,6,6,6,99.99
119,1130,18.7,13,2,1,NHS,2580,0.21,2,HWB10,B,0,3,30,180,360,4,1,7,7,7,99.99
120,1140,18.7,13,2,1,NHS,3990,0.2,2,HWB10,B,0,3,30,180,360,4,1,7,7,7,99.99
121,1150,47.4,12.8,4,2,NHS,8000,0.05,2,HWB15,B,3,2,30,180,360,34,1,6,6,7,99.99
122,1160,47.4,15.7,4,2,NHS,8000,0.05,2,HWB15,B,3,2,30,180,360,34,1,6,6,7,99.99
123,1170,91.8,13,4,2,NHS,9056,0.05,2,HWB15,B,52,4,30,180,360,17,1,7,7,7,99.99
124,1180,91.8,13,4,2,NHS,9056,0.05,2,HWB15,B,52,4,30,180,360,17,1,7,7,7,99.99
125,1190,118.7,14.3,6,2,Minor,15000,0.1,5,HWB22,B,0,5,30,180,360,32,1,6,8,7,99.99
126,1200,40.2,14.1,6,2,Minor,9183,0.1,6,HWB22,B,30,3,30,180,360,20,1,7,7,6,99.99
127,1210,33.2,14.5,2,1,Minor,11987,0.12,3,HWB10,B,30,3,30,180,360,33,1,6,6,5,99.99
131,1250,50.6,14.2,4,2,Minor,3929,0.19,6,HWB15,B,45,3,30,180,360,35,1,6,6,6,99.99
132,1260,157.7,10.8,4,2,Minor,2280,0.19,21,HWB1,B,23,7,30,180,360,5,1,9,7,7,99.99
133,1270,98.3,12.4,4,2,Minor,5858,0.13,21,HWB15,B,25,4,30,180,360,22,1,6,7,7,99.99
134,1280,75.6,19.6,6,2,Major,30135,0.03,2,HWB22,B,21,4,30,180,360,20,1,7,8,8,99.99
135,1290,75.6,19.6,6,2,Major,30135,0.03,2,HWB22,B,21,4,30,180,360,20,1,7,8,8,99.99
136,1300,23.3,13.1,2,1,Minor,15000,0.04,2,HWB10,B,6,3,30,180,360,33,1,5,5,7,99.99
137,1310,23.5,13.1,2,1,Minor,15000,0.04,2,HWB10,B,6,3,30,180,360,33,1,5,5,7,99.99
138,1320,40.8,13.1,1,2,Minor,8990,0.03,2,HWB5,B,35,3,30,180,360,2,1,6,7,7,99.99
139,1330,40.8,13.1,1,2,Minor,8990,0.03,2,HWB5,B,35,3,30,180,360,2,1,6,7,7,99.99
140,1342,27.4,13.1,5,2,Minor,15000,0.06,2,HWB3,B,0,1,30,180,360,30,1,7,6,7,99.99
141,1343,27.4,13.1,5,2,Minor,15000,0.06,2,HWB3,B,0,1,30,180,360,30,1,7,6,7,99.99
142,1346,45.7,13.2,6,2,Minor,15000,0.07,2,HWB22,B,0,3,30,180,360,30,1,7,6,7,99.99
143,1347,45.7,13.2,6,2,Minor,15000,0.07,2,HWB22,B,0,3,30,180,360,30,1,7,6,7,99.99
144,1359,47.2,13.3,4,2,Minor,7722,0.06,2,HWB15,B,4,3,30,180,360,29,1,7,7,7,99.99
145,1360,46.9,14.3,4,2,Minor,6743,0.09,2,HWB15,B,4,3,30,180,360,2,1,7,6,7,99.99
148,1400,9.8,12.7,1,1,Minor,2685,0.08,2,HWB3,B,0,1,30,180,360,27,1,6,6,6,99.99
149,1410,32.9,12.5,2,1,Minor,2685,0.08,2,HWB10,B,10,3,30,180,360,27,1,5,5,7,99.99
150,1420,23.2,12.3,2,1,Minor,5657,0.1,11,HWB10,B,0,3,30,180,360,22,1,6,6,7,99.99
151,1430,57.9,14.4,6,2,Minor,5657,0.1,11,HWB22,B,30,3,30,180,360,19,1,6,6,7,99.99
152,1440,17.1,11.5,5,1,Minor,5657,0.04,11,HWB3,B,0,1,30,180,360,19,1,7,7,7,99.99
153,1450,26.2,10.5,2,1,Minor,2472,0.1,11,HWB10,B,0,3,30,180,360,25,1,6,6,7,99.99
154,1460,22.3,13.5,2,1,Minor,2472,0.1,8,HWB10,B,25,3,30,180,360,27,1,7,7,7,99.99
155,1470,24.4,11.3,2,1,Minor,2828,0.1,8,HWB10,B,0,3,30,180,360,18,1,7,7,7,99.99
156,1473,22.7,15.9,2,1,Minor,4070,0,8,HWB10,B,6,3,30,180,360,7,1,7,7,8,99.99
157,1477,10.9,18.8,1,1,Local,4070,0.1,8,HWB3,B,17,1,30,180,360,7,1,6,6,7,99.99
158,1490,21.9,14.3,2,1,Minor,5679,0.23,8,HWB10,B,35,3,30,180,360,2,1,7,7,7,99.99
160,1500,64,11.8,4,2,Minor,12298,0.18,11,HWB15,B,0,4,30,180,360,22,1,6,7,6,99.99
161,1502,37,11.1,2,1,Minor,5557,0.05,5,HWB10,B,40,4,30,180,360,25,1,6,6,7,99.99
164,1506,27.9,9.7,2,1,Minor,6050,0.07,5,HWB10,B,25,3,30,180,360,27,1,5,5,6,99.99
165,1507,25.8,11.7,2,1,Minor,6050,0.08,5,HWB10,B,0,3,30,180,360,25,1,6,6,6,99.99
167,1510,22.4,14.7,2,1,Minor,7085,0.15,8,HWB10,B,10,3,30,180,360,30,1,6,6,6,99.99
169,1520,48.8,11.4,4,2,Minor,10172,0.15,6,HWB15,B,0,3,30,180,360,16,1,7,7,7,99.99
170,1530,23.8,11.2,5,5,Minor,5996,0.13,8,HWB3,B,0,1,30,180,360,40,1,5,5,5,99.99
171,1540,54.3,13,1,11,Minor,11459,0.11,8,HWB5,B,10,3,30,180,360,4,1,8,6,6,99.99
172,1550,20.1,13.1,2,1,Minor,5609,0.1,6,HWB10,B,10,3,30,180,360,32,1,6,6,5,99.99
176,1590,37.4,17.7,6,2,Minor,12367,0.1,5,HWB22,B,36,3,30,180,360,2,1,7,7,7,99.99
178,1620,61.6,14.1,4,2,NHS,22574,0.1,6,HWB15,B,45,3,30,180,360,12,1,6,7,5,99.99
179,1624,72.8,13.3,4,2,NHS,9513,0.1,2,HWB15,B,2,2,30,180,360,35,1,7,7,6,99.99
180,1626,72.8,13.3,4,2,NHS,9513,0.1,2,HWB15,B,2,2,30,180,360,35,1,7,7,6,99.99
181,1630,54.8,14.7,6,5,NHS,9670,0.12,5,HWB22,B,25,5,30,180,360,3,1,8,8,7,99.99
182,1640,25.9,14.2,2,1,NHS,16144,0.1,5,HWB10,B,10,3,30,180,360,18,1,7,7,7,99.99
183,1650,14.9,13.3,5,2,NHS,6566,0.26,5,HWB3,B,10,1,30,180,360,23,1,7,7,7,99.99
186,1681,55.5,12.9,6,4,NHS,8920,0.12,3,HWB22,B,33,2,30,180,360,6,1,8,8,8,99.99
187,1690,24.7,14.7,5,2,NHS,10143,0.1,3,HWB3,B,35,1,30,180,360,24,1,7,8,8,99.99
188,1700,41.1,14.2,6,2,NHS,6566,0.1,11,HWB22,B,23,3,30,180,360,36,1,6,5,7,99.99
191,1720,27,14.2,2,1,NHS,12768,0.25,11,HWB10,B,0,3,30,180,360,21,1,6,6,6,99.99
192,1724,42,14.2,6,2,NHS,8486,0.25,13,HWB22,B,43,3,30,180,360,21,1,5,6,5,99.99
193,1726,53.3,14.4,6,2,NHS,8486,0.29,13,HWB22,B,30,3,30,180,360,21,1,7,5,6,99.99
194,1730,42.4,14.2,6,2,NHS,5250,0.28,8,HWB22,B,0,3,30,180,360,5,1,6,6,7,99.99
195,1735,50.1,14.3,4,2,NHS,8486,0.23,8,HWB3,B,0,1,30,180,360,19,1,6,5,6,99.99
196,1738,21.9,14.2,2,1,Minor,2300,0.1,5,HWB10,B,0,3,30,180,360,2,1,7,7,7,99.99
197,1739,22.6,11.1,2,1,Minor,13500,0.08,5,HWB10,B,0,3,30,180,360,17,1,6,6,6,99.99
198,1740,27.9,14.7,2,1,Minor,7137,0.09,5,HWB10,B,0,3,30,180,360,27,1,6,6,6,99.99
200,1761,16.5,12.9,5,2,NHS,9950,0.27,40,HWB3,B,0,1,30,180,360,3,1,9,9,9,99.99
201,1771,20.3,14.1,5,2,NHS,7190,0.38,5,HWB3,B,15,1,30,180,360,7,1,8,7,9,99.99
202,1780,35.7,14.2,2,2,NHS,12379,0.14,5,HWB10,B,30,3,30,180,360,31,1,7,6,6,99.99
203,1790,21.6,14.7,2,1,NHS,9385,0.09,5,HWB10,B,25,3,30,180,360,28,1,6,6,5,99.99
204,1800,35.5,14.7,2,1,NHS,9935,0.35,10,HWB10,B,0,3,30,180,360,26,1,6,6,7,99.99
206,1850,63.6,27,4,2,NHS,11624,0.2,5,HWB15,B,0,4,30,180,360,22,1,6,7,7,99.99
207,1860,18.5,12.7,1,2,NHS,10513,0.23,5,HWB5,B,45,2,30,180,360,29,1,5,5,5,99.99
208,1870,21.8,11.1,2,1,NHS,10023,0.23,5,HWB10,B,15,3,30,180,360,29,1,5,5,6,99.99
209,1880,23.3,13.1,2,1,NHS,6504,0.23,5,HWB10,B,0,3,30,180,360,4,1,8,8,7,99.99
210,1890,46.3,13.9,6,1,Major,11388,0.05,3,HWB22,B,11,3,30,180,360,23,1,7,7,7,99.99
212,1910,7.9,12.6,1,2,Minor,8147,0.05,5,HWB3,B,0,1,30,180,360,63,1,6,6,6,99.99
213,1920,52.4,14.7,6,2,Minor,7778,0.1,8,HWB22,B,50,3,30,180,360,27,1,7,7,7,99.99
214,1930,30.5,14.6,2,1,Minor,8142,0.1,6,HWB10,B,45,3,30,180,360,30,1,5,5,7,99.99
215,1940,67.4,14.3,4,2,Minor,4623,0.1,6,HWB15,B,15,3,30,180,360,43,1,6,5,5,99.99
216,1950,66.4,14.3,6,2,Minor,4594,0.1,18,HWB22,B,30,3,30,180,360,36,1,7,6,6,99.99
217,1960,21.3,12.7,5,6,Minor,5700,0.12,8,HWB3,B,15,1,30,180,360,6,1,8,8,8,99.99
218,1970,67.4,14.2,6,2,Minor,5733,0.1,5,HWB22,B,10,3,30,180,360,18,1,7,6,7,99.99
219,1990,65.3,22,3,2,Major,34580,0.03,2,HWB12,B,42,3,30,180,360,5,1,8,8,8,99.99
220,2000,27.4,14.1,5,2,Minor,20789,0.13,3,HWB3,B,15,1,30,180,360,21,1,7,8,7,99.99
221,2010,84.4,14.8,4,2,Minor,13812,0.1,8,HWB15,B,10,3,30,180,360,26,1,7,8,8,99.99
222,2020,37.5,13.1,5,4,Minor,13174,0.1,11,HWB3,B,20,1,30,180,360,23,1,8,6,8,99.99
223,2030,37.2,13.3,6,2,Minor,13240,0.1,5,HWB22,B,0,3,30,180,360,17,1,7,7,8,99.99
224,2041,28,16.6,5,4,Minor,13720,0.07,5,HWB3,B,0,1,30,180,360,4,1,9,9,9,99.99
225,2050,21.9,14.2,2,2,Minor,18648,0.1,3,HWB10,B,0,3,30,180,360,42,1,6,6,7,99.99
226,2060,36.3,14.2,2,1,Minor,8355,0.06,2,HWB10,B,30,3,30,180,360,5,1,5,5,6,99.99
227,2070,109.4,13.5,4,2,NHS,17058,0.1,16,HWB15,B,30,3,30,180,360,23,1,7,8,7,99.99
228,2080,81.6,22.6,4,2,NHS,18722,0.08,16,HWB15,B,30,4,30,180,360,3,1,7,6,7,99.99
229,2110,10.7,14.2,5,2,Minor,5060,0.07,10,HWB3,B,0,1,30,180,360,5,1,6,6,6,99.99
230,2120,7.6,12.5,1,2,Minor,5850,0.1,3,HWB3,B,10,1,30,180,360,68,1,5,6,6,99.99
231,2130,18.9,9.7,2,1,Minor,5850,0.1,10,HWB10,B,0,3,30,180,360,24,1,6,6,5,99.99
232,2140,33.8,9.9,6,6,Minor,5850,0.1,10,HWB22,B,50,3,30,180,360,24,1,6,7,6,99.99
233,2150,21.3,14.7,2,1,Minor,2373,0.1,8,HWB10,B,0,3,30,180,360,28,1,6,6,8,99.99
234,2160,24.1,11.1,2,1,Minor,3980,0.1,16,HWB10,B,0,3,30,180,360,26,1,5,6,7,99.99
236,2180,20.7,10.5,2,1,Minor,3495,0.1,11,HWB10,B,0,3,30,180,360,17,1,7,7,7,99.99
237,2190,24.7,13.5,2,1,Minor,3495,0.1,11,HWB10,B,15,3,30,180,360,5,1,6,6,7,99.99
238,2211,13.3,13.1,3,2,Minor,1605,0.13,24,HWB3,B,0,1,30,180,360,2,1,9,9,9,99.99
240,2230,68.7,11.7,6,2,Minor,3232,0.18,16,HWB22,B,45,3,30,180,360,10,1,7,8,7,99.99
241,2240,81.1,11.8,4,2,Minor,6491,0.1,5,HWB15,B,49,5,30,180,360,23,1,7,7,7,99.99
242,2250,19.5,14.3,5,2,Minor,3940,0.08,6,HWB3,B,24,1,30,180,360,5,1,7,7,7,99.99
243,2260,21.7,14.3,2,1,Minor,6419,0.08,5,HWB10,B,0,3,30,180,360,31,1,6,6,6,99.99
244,2270,21.8,12.6,2,1,Minor,8627,0.08,6,HWB10,B,0,3,30,180,360,33,1,5,5,7,99.99
245,2280,25.2,14.6,2,1,Minor,24425,0.09,6,HWB10,B,15,3,30,180,360,7,1,7,7,8,99.99
246,2290,11.9,14.2,5,2,Minor,25477,0.09,6,HWB3,B,0,1,30,180,360,7,1,6,6,7,99.99
247,2300,20.1,15.1,6,5,Major,21057,0.08,2,HWB22,B,0,3,30,180,360,5,1,7,7,7,99.99
248,2310,28.5,13.7,2,1,Minor,4153,0.16,5,HWB10,B,0,3,30,180,360,32,1,6,6,7,99.99
249,2320,26.5,13.1,5,2,Minor,3566,0.14,5,HWB3,B,14,1,30,180,360,27,1,7,8,8,99.99
250,2322,27.7,13.5,5,2,Minor,3566,0.14,6,HWB3,B,0,1,30,180,360,27,1,7,8,8,99.99
251,2330,92.1,10.5,6,2,Minor,3566,0.1,8,HWB22,B,40,5,30,180,360,18,1,7,6,7,99.99
252,2340,31,12.7,2,1,NHS,10692,0.15,5,HWB10,B,35,3,30,180,360,5,1,7,7,6,99.99
253,2350,24.8,14.3,1,1,NHS,10692,0.15,8,HWB5,B,15,3,30,180,360,4,1,9,9,7,99.99
254,2360,21.9,12.7,2,1,NHS,4788,0.1,6,HWB10,B,0,3,30,180,360,31,1,5,5,7,99.99
255,2370,34.1,9.8,4,2,Minor,6060,0.07,5,HWB15,B,0,3,30,180,360,5,1,8,7,7,99.99
256,2380,80.3,10.2,4,2,Minor,6340,0.07,5,HWB15,B,30,4,30,180,360,2,1,9,6,6,99.99
257,2390,31,12.6,2,1,Minor,4490,0.08,3,HWB10,B,30,3,30,180,360,2,1,6,6,7,99.99
258,2400,27.9,12.7,2,1,Minor,4610,0.09,3,HWB10,B,0,3,30,180,360,4,1,7,7,7,99.99
259,2411,79.9,12.9,6,4,Minor,3260,0.12,8,HWB22,B,0,2,30,180,360,7,1,7,7,7,99.99
260,2420,27.9,12.5,2,1,Minor,6464,0.1,6,HWB10,B,20,3,30,180,360,18,1,6,6,7,99.99
262,2440,96,25.5,6,2,Major,21049,0.05,11,HWB22,B,0,4,30,180,360,26,1,7,7,7,99.99
263,2450,82.3,23.3,2,2,Major,23334,0.03,10,HWB10,B,31,4,30,180,360,20,1,6,7,6,99.99
264,2460,20,14.3,2,1,Minor,8126,0.1,8,HWB10,B,15,3,30,180,360,30,1,6,6,7,99.99
265,2470,78,14.2,4,2,Minor,8126,0.1,3,HWB15,B,20,3,30,180,360,38,1,6,7,7,99.99
267,2480,66.8,30.6,4,2,Major,43999,0.1,8,HWB15,B,0,4,30,180,360,10,1,7,8,7,99.99
268,2490,57,14.2,4,2,Minor,7717,0.1,6,HWB15,B,18,3,30,180,360,39,1,6,6,6,99.99
269,2500,38.1,10.5,6,6,Minor,7870,0.14,2,HWB22,B,0,3,30,180,360,3,1,8,8,7,99.99
270,2510,134.1,24.5,4,2,Major,63800,0.05,6,HWB15,B,20,5,30,180,360,12,1,7,7,6,99.99
272,2530,13.9,15,2,1,Major,12565,0.03,6,HWB10,B,25,2,30,180,360,2,1,7,7,7,99.99
273,2540,48.9,16.6,2,1,Major,24000,0.05,6,HWB10,B,15,5,30,180,360,27,1,7,7,7,99.99
274,2550,21.8,13.4,2,1,Minor,8800,0.1,6,HWB10,B,0,3,30,180,360,23,1,7,7,7,99.99
275,2560,9.1,13.1,1,2,Minor,8800,0.1,6,HWB3,B,15,1,30,180,360,67,1,5,5,5,99.99
277,2590,21.8,24.7,5,2,Major,34315,0.08,3,HWB3,B,0,1,30,180,360,21,1,8,8,8,99.99
278,2600,79.6,19.8,4,2,Major,44420,0.1,2,HWB15,B,10,7,30,180,360,18,1,7,7,7,99.99
279,2610,142.3,13.6,4,2,Major,12249,0.05,2,HWB15,B,15,5,30,180,360,22,1,5,6,7,99.99
280,2620,18.3,12.3,3,2,Major,11963,0.05,5,HWB3,B,27,1,30,180,360,27,1,7,7,7,99.99
282,2640,178.8,11.1,6,2,Minor,3253,0.11,2,HWB1,B,30,7,30,180,360,4,1,6,7,6,99.99
283,2650,178.6,11.1,6,2,Minor,3253,0.13,2,HWB1,B,30,7,30,180,360,4,1,6,7,6,99.99
284,2660,92.4,11.2,6,2,Minor,3253,0.13,2,HWB22,B,0,5,30,180,360,35,1,7,7,7,99.99
285,2670,92.4,11.2,6,2,Minor,3253,0.12,2,HWB22,B,0,5,30,180,360,35,1,7,6,7,99.99
286,2680,36.5,12.6,2,1,Major,4303,0.1,2,HWB10,B,30,3,30,180,360,19,1,6,6,7,99.99
287,2690,36.5,12.6,2,1,Major,4303,0.1,2,HWB10,B,30,3,30,180,360,19,1,6,6,7,99.99
288,2700,43,11.2,4,2,Minor,5813,0.09,2,HWB15,B,10,3,30,180,360,4,1,8,8,8,99.99
289,2710,43,11.2,4,2,Minor,5813,0.09,2,HWB15,B,10,3,30,180,360,4,1,8,8,8,99.99
290,2720,108.5,23.3,4,2,Minor,11624,0.09,5,HWB15,B,5,5,30,180,360,35,1,5,5,7,99.99
291,2730,58.7,12.2,4,2,Minor,5254,0.19,2,HWB15,B,4,4,30,180,360,22,1,6,6,7,99.99
